ORDER_ID	CLASS	B_EMAIL	B_TELEFON	B_BIRTHDATE	FLAG_LRIDENTISCH	FLAG_NEWSLETTER	Z_METHODE	Z_CARD_ART	Z_CARD_VALID	Z_LAST_NAME	VALUE_ORDER	WEEKDAY_ORDER	TIME_ORDER	AMOUNT_ORDER	ANUMMER_01	ANUMMER_02	ANUMMER_03	ANUMMER_04	ANUMMER_05	ANUMMER_06	ANUMMER_07	ANUMMER_08	ANUMMER_09	ANUMMER_10	CHK_LADR	CHK_RADR	CHK_KTO	CHK_CARD	CHK_COOKIE	CHK_IP	FAIL_LPLZ	FAIL_LORT	FAIL_LPLZORTMATCH	FAIL_RPLZ	FAIL_RORT	FAIL_RPLZORTMATCH	SESSION_TIME	NEUKUNDE	AMOUNT_ORDER_PRE	VALUE_ORDER_PRE	DATE_LORDER	MAHN_AKT	MAHN_HOECHST
49935	no	no	no	?	no	no	credit_card	Eurocard	1.2007	yes	168.19	Monday	8:25	4	402697	401285	400450	409333	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	2	82.32	12/26/2004	0	0
49937	no	no	no	7/9/1965	yes	no	check	?	2.2006	?	18.2	Wednesday	2:49	1	106590	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	no	1	12.38	6/18/2001	1	1
49938	no	yes	no	?	yes	no	check	?	6.2006	?	68.8	Monday	11:44	2	402454	100147	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49939	no	no	no	9/8/1964	yes	no	check	?	11.2007	?	19.99	Sunday	4:58	1	201402	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	yes	0	0	?	?	?
49940	no	yes	no	8/22/1964	no	no	credit_card	Eurocard	3.2007	yes	54.5	Monday	0:08	1	207610	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	2	55.4	11/28/2004	0	0
49941	no	no	no	5/10/1965	no	no	credit_card	Visa	6.2005	yes	9.8	Tuesday	9:29	1	201373	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49942	no	yes	no	10/28/1974	no	no	debit_note	?	6.2007	no	98.5	Sunday	14:24	2	407610	102089	?	?	?	?	?	?	?	?	yes	no	no	no	no	no	no	no	no	no	no	no	2	no	1	59.07	7/14/2001	0	0
49943	no	yes	no	1/25/1971	yes	no	check	?	5.2006	?	64.5	Monday	19:05	1	107317	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49944	no	no	no	10/20/1972	no	no	credit_card	Eurocard	3.2005	yes	31.9	Saturday	9:17	1	105580	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	no	1	11.09	9/20/2003	0	0
49945	no	yes	no	4/9/1970	yes	no	debit_note	?	2.2006	yes	23.5	Sunday	4:32	1	500124	?	?	?	?	?	?	?	?	?	yes	no	no	no	no	no	no	no	no	no	no	no	8	no	1	32.57	4/9/2004	0	0
49946	no	yes	no	?	yes	no	credit_card	Eurocard	4.2005	yes	21.2	Wednesday	11:18	2	408126	204921	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	yes	0	0	?	?	?
49947	no	yes	no	12/21/1952	yes	no	check	?	5.2005	?	67	Wednesday	15:18	2	500124	406774	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49949	no	yes	no	1/27/1974	yes	no	check	?	11.2005	?	17.5	Thursday	9:23	1	102448	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	2	143.24	7/2/2001	0	0
49951	no	yes	no	8/1/1980	yes	no	check	?	4.2006	?	46.5	Thursday	18:21	1	206520	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	14	yes	0	0	?	?	?
49953	no	yes	no	10/9/1974	yes	no	credit_card	Visa	5.2006	yes	107.5	Wednesday	6:40	3	603639	206310	409725	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	no	1	20.75	11/9/2004	0	0
49956	no	yes	yes	12/26/1975	yes	no	check	?	4.2006	?	81.5	Tuesday	22:09	2	404921	404645	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49957	no	no	no	10/28/1983	yes	no	check	?	3.2005	?	60.5	Wednesday	16:06	2	204765	408605	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49959	no	yes	no	11/23/1975	yes	no	debit_note	?	2.2007	yes	52	Saturday	3:44	1	104522	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	1	6.48	9/7/2003	0	0
49960	no	yes	yes	10/4/1981	no	no	credit_card	Eurocard	3.2006	yes	79.2	Thursday	10:47	2	502089	408470	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	no	1	12.47	8/21/2003	0	2
49962	no	yes	no	5/10/1944	yes	no	check	?	2.2006	?	9.99	Friday	3:32	1	300214	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	no	2	104.08	12/15/2001	1	2
49965	no	yes	no	3/14/1986	yes	no	check	?	5.2005	?	5.2	Thursday	16:28	1	406160	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	yes	0	0	?	?	?
49967	no	yes	no	2/6/1976	yes	no	credit_card	Eurocard	5.2006	yes	75.6	Sunday	2:44	2	406685	106685	?	?	?	?	?	?	?	?	yes	no	no	no	no	no	no	no	no	no	no	no	7	no	1	16.96	4/13/2001	0	0
49968	no	yes	yes	4/16/1966	yes	no	check	?	9.2006	?	54.5	Sunday	2:29	1	104258	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49973	no	no	no	5/1/1986	yes	no	check	?	12.2005	?	18.5	Wednesday	3:57	1	108777	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	yes	no	no	no	no	10	yes	0	0	?	?	?
49974	no	yes	no	11/8/1983	no	no	credit_card	Visa	8.2007	yes	39.5	Wednesday	18:36	1	306284	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	yes	no	no	no	9	no	1	32.89	12/11/2003	0	1
49975	yes	no	no	1/7/1966	no	no	credit_card	Eurocard	10.2006	yes	28.8	Wednesday	11:28	2	508889	602089	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	yes	0	0	?	?	?
49981	no	yes	no	?	yes	no	check	?	2.2005	?	32.8	Sunday	21:54	1	409736	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	no	1	58.44	1/31/2003	0	0
49983	no	yes	no	7/31/1985	yes	no	check	?	9.2007	?	17.99	Sunday	10:10	1	302089	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	1	34.46	5/22/2003	1	1
49985	no	yes	yes	5/1/1983	yes	no	check	?	2.2007	?	23.5	Tuesday	12:55	1	204242	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	yes	no	no	7	yes	0	0	?	?	?
49986	no	yes	no	1/10/1974	no	no	credit_card	Eurocard	2.2006	yes	29.5	Monday	22:27	1	403136	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0	?	?	?
49987	no	no	no	7/24/1985	yes	no	check	?	7.2007	?	17.5	Sunday	13:32	1	400124	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	yes	0	0	?	?	?
49989	no	no	no	1/22/1986	yes	no	check	?	2.2007	?	17.8	Sunday	6:06	1	509006	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	no	2	58.66	8/2/2001	0	0
49991	no	yes	no	?	yes	no	credit_card	Eurocard	10.2005	yes	10.8	Monday	13:20	1	202496	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	no	1	9.36	8/27/2004	0	0
49992	no	yes	no	1/17/1978	no	yes	credit_card	Visa	7.2005	yes	62	Saturday	12:56	1	102133	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	no	1	18.2	3/19/2002	0	0
49993	no	no	no	3/5/1964	no	no	debit_note	?	10.2006	yes	39.5	Saturday	13:14	1	309121	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	no	1	54.85	4/4/2002	1	1
49994	no	yes	yes	11/22/1953	yes	yes	check	?	10.2006	?	73	Wednesday	23:11	2	205431	402572	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	yes	0	0	?	?	?
49995	no	yes	no	12/14/1971	yes	no	check	?	11.2006	?	19.99	Monday	15:22	1	202677	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	yes	0	0	?	?	?
49997	no	yes	no	7/20/1966	yes	no	check	?	8.2005	?	23.4	Wednesday	21:56	2	208609	202448	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49998	no	yes	yes	?	yes	yes	check	?	9.2005	?	9.99	Monday	7:15	1	102090	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49999	no	yes	no	?	no	no	debit_card	debit_card	7.2005	yes	115.3	Monday	5:24	3	401856	402634	208777	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	no	1	77.37	9/14/2003	0	0
50000	no	no	no	6/26/1964	yes	no	check	?	3.2007	?	32.8	Thursday	6:30	1	507046	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	no	2	142.52	10/10/2002	0	0
49623	no	yes	no	7/10/1970	yes	no	check	?	7.2006	?	68.4	Wednesday	10:13	1	104765	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	1	32.34	2/16/2004	0	0
49624	no	yes	no	1/27/1962	yes	no	check	?	9.2005	?	22.5	Thursday	23:40	2	400767	209725	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49625	no	no	no	2/13/1976	yes	no	check	?	9.2007	?	19.99	Tuesday	0:15	1	201402	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	14	yes	0	0	?	?	?
49626	yes	yes	no	7/8/1965	no	no	credit_card	Visa	8.2005	yes	115.5	Saturday	9:09	2	407344	406821	?	?	?	?	?	?	?	?	yes	no	no	no	no	no	no	no	no	no	no	no	11	no	1	18.99	5/2/2004	0	0
49627	no	yes	no	10/31/1961	no	no	debit_note	?	9.2005	yes	120.1	Saturday	22:38	3	303136	403772	508777	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	no	1	10.47	8/29/2001	0	0
49629	no	yes	yes	5/21/1980	no	no	credit_card	Eurocard	8.2007	yes	68.4	Thursday	9:18	1	205958	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	yes	0	0	?	?	?
49630	no	yes	yes	10/7/1974	no	no	credit_card	Visa	10.2006	yes	19.99	Friday	0:12	1	206858	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	no	2	39.74	4/15/2004	1	1
49632	no	yes	no	5/10/1977	yes	no	check	?	1.2007	?	41	Thursday	17:31	1	407022	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49636	no	yes	yes	3/10/1986	yes	no	check	?	5.2005	?	29.99	Friday	7:40	1	405284	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	yes	0	0	?	?	?
49637	no	yes	no	?	yes	no	credit_card	Visa	12.2007	no	53.6	Thursday	17:11	2	202469	503397	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	yes	no	17	no	1	7.17	11/25/2001	0	0
49640	no	no	no	?	yes	no	check	?	10.2006	?	90.5	Thursday	20:00	3	404645	407416	203772	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	3	78.6	3/28/2003	1	1
49641	no	yes	no	3/3/1960	no	no	debit_note	?	2.2005	yes	46.5	Tuesday	19:14	1	400822	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49643	no	no	no	2/26/1970	no	no	debit_note	?	2.2006	yes	54.5	Tuesday	13:40	1	407416	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	yes	no	no	9	yes	0	0	?	?	?
49644	no	yes	no	8/19/1971	no	no	debit_note	?	12.2007	yes	14.5	Saturday	17:10	1	306398	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49645	no	yes	no	?	no	no	credit_card	Visa	2.2005	yes	53.49	Sunday	1:32	2	100214	302496	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49648	no	yes	no	5/20/1955	no	no	credit_card	Eurocard	7.2007	yes	32.8	Saturday	11:46	1	409470	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	yes	0	0	?	?	?
49651	no	yes	no	3/22/1963	yes	no	check	?	6.2005	?	17.8	Friday	12:43	1	402243	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	no	1	83.83	5/23/2003	0	0
49654	no	yes	yes	?	yes	no	check	?	2.2005	?	18	Wednesday	3:17	1	104921	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49656	yes	yes	no	8/7/1985	no	no	credit_card	Visa	7.2007	yes	42.7	Saturday	22:45	2	502845	409826	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	yes	0	0	?	?	?
49657	no	yes	no	7/10/1975	yes	no	check	?	12.2005	?	10.8	Saturday	18:51	1	203136	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0	?	?	?
49658	no	yes	yes	12/31/1980	yes	no	check	?	8.2005	?	26	Friday	2:04	1	409183	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	no	1	17.33	4/3/2002	0	1
49659	no	yes	yes	?	yes	no	check	?	5.2005	?	55.75	Saturday	11:24	2	409736	108499	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	1	12.77	2/14/2004	0	0
49660	no	no	yes	7/13/1935	yes	no	check	?	11.2005	?	10.8	Saturday	8:25	1	406310	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	1	28.03	12/18/2002	0	0
49661	no	yes	no	1/8/1978	yes	no	check	?	2.2006	?	18	Thursday	8:26	1	200035	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	2	153.3	3/5/2004	0	0
49665	no	yes	no	1/16/1978	yes	no	credit_card	Visa	3.2006	no	43.5	Sunday	10:27	1	104159	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	yes	0	0	?	?	?
49668	no	yes	no	11/21/1973	no	no	credit_card	Visa	8.2007	yes	18.2	Wednesday	23:39	1	103776	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	yes	0	0	?	?	?
49670	no	yes	no	11/3/1980	no	no	debit_card	debit_card	7.2006	yes	19.99	Friday	22:18	1	409200	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	0	0	?	?	?
49671	no	yes	no	10/10/1966	yes	no	check	?	1.2006	?	30.59	Wednesday	10:01	2	205338	101967	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49673	no	yes	yes	6/23/1975	no	no	credit_card	Visa	1.2005	yes	97.94	Friday	8:03	4	204341	404258	509121	508997	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	yes	0	0	?	?	?
49674	no	yes	no	3/27/1939	yes	yes	credit_card	Eurocard	10.2006	yes	62	Monday	7:54	1	106284	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	1	80.27	12/31/2003	0	0
49675	no	yes	no	?	yes	no	check	?	7.2006	?	62	Tuesday	13:05	1	102845	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	1	253.49	2/2/2002	1	1
49676	no	yes	no	9/7/1980	yes	no	check	?	3.2005	?	54.5	Sunday	1:11	1	206774	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	1	26.6	8/11/2003	0	0
49678	no	yes	no	11/16/1966	yes	no	debit_note	?	8.2007	yes	151.3	Sunday	18:28	4	403772	300925	200578	307344	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49681	no	yes	no	7/9/1984	no	no	credit_card	Visa	11.2005	yes	10.8	Thursday	20:58	1	200476	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	yes	0	0	?	?	?
49682	no	yes	no	10/4/1960	yes	no	check	?	8.2006	?	52	Wednesday	10:36	1	404921	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	no	1	34.85	1/9/2004	0	0
49683	no	yes	no	12/8/1971	yes	no	check	?	12.2006	?	57.8	Saturday	7:56	1	108801	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0	?	?	?
49684	no	yes	yes	3/2/1971	yes	no	check	?	9.2005	?	34.5	Monday	16:17	1	101856	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	3	76.05	7/24/2002	0	1
49685	no	yes	no	7/6/1983	yes	no	debit_note	?	7.2005	no	42.8	Tuesday	21:21	1	307317	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49687	no	yes	yes	8/19/1977	yes	no	check	?	10.2006	?	12.6	Saturday	6:22	1	404935	?	?	?	?	?	?	?	?	?	yes	no	no	no	no	no	no	no	no	no	no	no	4	no	1	14.93	3/18/2002	0	0
49688	no	no	no	2/26/1970	yes	no	check	?	9.2005	?	36.3	Saturday	14:37	2	302496	103950	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	yes	0	0	?	?	?
49689	no	yes	no	7/25/1969	yes	no	debit_note	?	8.2005	yes	54.5	Monday	14:06	1	609121	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	yes	no	no	no	3	no	1	63.67	3/19/2003	0	0
49691	no	no	yes	3/15/1972	yes	no	credit_card	Visa	5.2005	yes	117.75	Saturday	21:59	3	403533	200214	401835	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	1	43.48	5/10/2004	0	1
49694	no	yes	no	8/29/1977	yes	no	credit_card	Amex	12.2005	yes	42.8	Thursday	10:42	1	404269	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49695	no	no	no	8/1/1978	yes	no	check	?	11.2007	?	57.8	Friday	12:00	1	402123	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	1	41.54	6/7/2003	0	0
49696	no	yes	no	3/9/1960	no	no	credit_card	Eurocard	11.2006	yes	43.5	Sunday	2:55	1	406774	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	1	12.73	4/18/2002	0	0
49698	yes	no	no	12/18/1964	no	no	debit_note	?	6.2006	yes	48.7	Sunday	12:38	2	109102	403203	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	yes	0	0	?	?	?
49699	yes	yes	no	6/13/1966	no	no	credit_card	Eurocard	10.2005	yes	60.3	Sunday	21:10	2	407934	404269	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49702	no	yes	no	8/6/1937	no	no	credit_card	Eurocard	2.2005	yes	68.5	Wednesday	12:52	2	503950	100476	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0	?	?	?
49704	no	yes	yes	6/13/1960	yes	no	credit_card	Eurocard	2.2006	yes	17.8	Monday	22:23	1	504921	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	no	1	147.69	6/27/2003	0	2
49705	no	no	no	3/29/1978	yes	no	check	?	9.2007	?	9.99	Tuesday	8:14	1	405580	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49708	no	yes	no	8/15/1962	yes	no	check	?	10.2006	?	8.5	Monday	0:58	1	503639	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	1	6.93	5/23/2002	0	0
49709	yes	no	no	11/2/1966	no	no	credit_card	Visa	4.2006	yes	117.8	Saturday	4:24	3	104935	105580	308997	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	2	yes	0	0	?	?	?
49711	no	yes	no	3/31/1979	no	yes	credit_card	Eurocard	1.2007	yes	17.5	Wednesday	18:48	1	506398	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	yes	0	0	?	?	?
49712	no	yes	no	6/4/1958	yes	no	check	?	5.2005	?	18.2	Thursday	0:24	1	500578	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	11	yes	0	0	?	?	?
49714	no	yes	no	6/16/1967	yes	no	check	?	10.2007	?	5.2	Saturday	22:32	1	200147	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	yes	no	no	8	no	2	232.26	4/9/2001	0	0
49715	no	yes	no	4/3/1964	yes	no	debit_note	?	4.2005	yes	105.5	Saturday	12:15	3	102496	405965	108500	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49716	no	yes	no	4/23/1984	yes	no	check	?	10.2007	?	49.5	Sunday	9:17	4	104645	202697	402062	502496	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	5	no	2	327.8	2/9/2003	0	0
49717	no	yes	no	6/3/1979	no	no	debit_note	?	6.2007	yes	43.5	Saturday	18:07	1	104159	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	yes	0	0	?	?	?
49720	no	yes	no	10/24/1961	yes	no	check	?	2.2005	?	5.2	Saturday	18:00	1	200147	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	yes	0	0	?	?	?
49721	no	no	no	10/31/1983	yes	no	check	?	2.2007	?	74.8	Sunday	19:50	2	103950	108889	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	16	yes	0	0	?	?	?
49722	no	yes	no	6/1/1961	no	yes	credit_card	Eurocard	3.2005	yes	16	Monday	9:54	1	400767	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	4	yes	0	0	?	?	?
49728	no	yes	no	3/18/1966	yes	no	check	?	4.2007	?	10.8	Friday	13:10	1	408470	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	6	yes	0	0	?	?	?
49729	no	yes	no	7/21/1972	no	no	credit_card	Eurocard	3.2007	yes	32.8	Friday	11:48	1	409736	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	12	no	2	79.7	5/14/2003	1	1
49730	no	yes	no	5/2/1968	no	no	credit_card	Eurocard	10.2005	yes	68.4	Thursday	17:03	1	308997	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	10	no	3	39.09	11/11/2004	0	0
